collection1,,,,,
Number,Name,NameLink,Type1,Egg1,Egg1num
69,Bellsprout,http://bulbapedia.bulbagarden.net/wiki/Bellsprout_(Pok%C3%A9mon),Grass,Grass,7
70,Weepinbell,http://bulbapedia.bulbagarden.net/wiki/Weepinbell_(Pok%C3%A9mon),Grass,Grass,7
71,Victreebel,http://bulbapedia.bulbagarden.net/wiki/Victreebel_(Pok%C3%A9mon),Grass,Grass,7
72,Tentacool,http://bulbapedia.bulbagarden.net/wiki/Tentacool_(Pok%C3%A9mon),Water,Water 3,9
73,Tentacruel,http://bulbapedia.bulbagarden.net/wiki/Tentacruel_(Pok%C3%A9mon),Water,Water 3,9
74,Geodude,http://bulbapedia.bulbagarden.net/wiki/Geodude_(Pok%C3%A9mon),Rock,Mineral,10
75,Graveler,http://bulbapedia.bulbagarden.net/wiki/Graveler_(Pok%C3%A9mon),Rock,Mineral,10
76,Golem,http://bulbapedia.bulbagarden.net/wiki/Golem_(Pok%C3%A9mon),Rock,Mineral,10
77,Ponyta,http://bulbapedia.bulbagarden.net/wiki/Ponyta_(Pok%C3%A9mon),Fire,Field,5
78,Rapidash,http://bulbapedia.bulbagarden.net/wiki/Rapidash_(Pok%C3%A9mon),Fire,Field,5
79,Slowpoke,http://bulbapedia.bulbagarden.net/wiki/Slowpoke_(Pok%C3%A9mon),Water,Monster,1
80,Slowbro,http://bulbapedia.bulbagarden.net/wiki/Slowbro_(Pok%C3%A9mon),Water,Monster,1
81,Magnemite,http://bulbapedia.bulbagarden.net/wiki/Magnemite_(Pok%C3%A9mon),Electric,Mineral,10
82,Magneton,http://bulbapedia.bulbagarden.net/wiki/Magneton_(Pok%C3%A9mon),Electric,Mineral,10
83,Farfetch'd,http://bulbapedia.bulbagarden.net/wiki/Farfetch%27d_(Pok%C3%A9mon),Normal,Flying,4
84,Doduo,http://bulbapedia.bulbagarden.net/wiki/Doduo_(Pok%C3%A9mon),Normal,Flying,4
85,Dodrio,http://bulbapedia.bulbagarden.net/wiki/Dodrio_(Pok%C3%A9mon),Normal,Flying,4
86,Seel,http://bulbapedia.bulbagarden.net/wiki/Seel_(Pok%C3%A9mon),Water,Water 1,2
87,Dewgong,http://bulbapedia.bulbagarden.net/wiki/Dewgong_(Pok%C3%A9mon),Water,Water 1,2
88,Grimer,http://bulbapedia.bulbagarden.net/wiki/Grimer_(Pok%C3%A9mon),Poison,Amorphous,11
89,Muk,http://bulbapedia.bulbagarden.net/wiki/Muk_(Pok%C3%A9mon),Poison,Amorphous,11
90,Shellder,http://bulbapedia.bulbagarden.net/wiki/Shellder_(Pok%C3%A9mon),Water,Water 3,9
91,Cloyster,http://bulbapedia.bulbagarden.net/wiki/Cloyster_(Pok%C3%A9mon),Water,Water 3,9
92,Gastly,http://bulbapedia.bulbagarden.net/wiki/Gastly_(Pok%C3%A9mon),Ghost,Amorphous,11
93,Haunter,http://bulbapedia.bulbagarden.net/wiki/Haunter_(Pok%C3%A9mon),Ghost,Amorphous,11
94,Gengar,http://bulbapedia.bulbagarden.net/wiki/Gengar_(Pok%C3%A9mon),Ghost,Amorphous,11
95,Onix,http://bulbapedia.bulbagarden.net/wiki/Onix_(Pok%C3%A9mon),Rock,Mineral,10
96,Drowzee,http://bulbapedia.bulbagarden.net/wiki/Drowzee_(Pok%C3%A9mon),Psychic,Human-Like,8
97,Hypno,http://bulbapedia.bulbagarden.net/wiki/Hypno_(Pok%C3%A9mon),Psychic,Human-Like,8
98,Krabby,http://bulbapedia.bulbagarden.net/wiki/Krabby_(Pok%C3%A9mon),Water,Water 3,9
99,Kingler,http://bulbapedia.bulbagarden.net/wiki/Kingler_(Pok%C3%A9mon),Water,Water 3,9
100,Voltorb,http://bulbapedia.bulbagarden.net/wiki/Voltorb_(Pok%C3%A9mon),Electric,Mineral,10
101,Electrode,http://bulbapedia.bulbagarden.net/wiki/Electrode_(Pok%C3%A9mon),Electric,Mineral,10
102,Exeggcute,http://bulbapedia.bulbagarden.net/wiki/Exeggcute_(Pok%C3%A9mon),Grass,Grass,7
103,Exeggutor,http://bulbapedia.bulbagarden.net/wiki/Exeggutor_(Pok%C3%A9mon),Grass,Grass,7
104,Cubone,http://bulbapedia.bulbagarden.net/wiki/Cubone_(Pok%C3%A9mon),Ground,Monster,1
105,Marowak,http://bulbapedia.bulbagarden.net/wiki/Marowak_(Pok%C3%A9mon),Ground,Monster,1
106,Hitmonlee,http://bulbapedia.bulbagarden.net/wiki/Hitmonlee_(Pok%C3%A9mon),Fighting,Human-Like,8
107,Hitmonchan,http://bulbapedia.bulbagarden.net/wiki/Hitmonchan_(Pok%C3%A9mon),Fighting,Human-Like,8
108,Lickitung,http://bulbapedia.bulbagarden.net/wiki/Lickitung_(Pok%C3%A9mon),Normal,Monster,1
109,Koffing,http://bulbapedia.bulbagarden.net/wiki/Koffing_(Pok%C3%A9mon),Poison,Amorphous,11
110,Weezing,http://bulbapedia.bulbagarden.net/wiki/Weezing_(Pok%C3%A9mon),Poison,Amorphous,11
111,Rhyhorn,http://bulbapedia.bulbagarden.net/wiki/Rhyhorn_(Pok%C3%A9mon),Ground,Monster,1
112,Rhydon,http://bulbapedia.bulbagarden.net/wiki/Rhydon_(Pok%C3%A9mon),Ground,Monster,1
113,Chansey,http://bulbapedia.bulbagarden.net/wiki/Chansey_(Pok%C3%A9mon),Normal,Fairy,6
114,Tangela,http://bulbapedia.bulbagarden.net/wiki/Tangela_(Pok%C3%A9mon),Grass,Grass,7
115,Kangaskhan,http://bulbapedia.bulbagarden.net/wiki/Kangaskhan_(Pok%C3%A9mon),Normal,Monster,1
116,Horsea,http://bulbapedia.bulbagarden.net/wiki/Horsea_(Pok%C3%A9mon),Water,Water 1,2
117,Seadra,http://bulbapedia.bulbagarden.net/wiki/Seadra_(Pok%C3%A9mon),Water,Water 1,2
118,Goldeen,http://bulbapedia.bulbagarden.net/wiki/Goldeen_(Pok%C3%A9mon),Water,Water 2,12
119,Seaking,http://bulbapedia.bulbagarden.net/wiki/Seaking_(Pok%C3%A9mon),Water,Water 2,12
120,Staryu,http://bulbapedia.bulbagarden.net/wiki/Staryu_(Pok%C3%A9mon),Water,Water 3,9
121,Starmie,http://bulbapedia.bulbagarden.net/wiki/Starmie_(Pok%C3%A9mon),Water,Water 3,9
122,Mr. Mime,http://bulbapedia.bulbagarden.net/wiki/Mr._Mime_(Pok%C3%A9mon),Psychic,Human-Like,8
123,Scyther,http://bulbapedia.bulbagarden.net/wiki/Scyther_(Pok%C3%A9mon),Bug,Bug,3
124,Jynx,http://bulbapedia.bulbagarden.net/wiki/Jynx_(Pok%C3%A9mon),Ice,Human-Like,8
125,Electabuzz,http://bulbapedia.bulbagarden.net/wiki/Electabuzz_(Pok%C3%A9mon),Electric,Human-Like,8
126,Magmar,http://bulbapedia.bulbagarden.net/wiki/Magmar_(Pok%C3%A9mon),Fire,Human-Like,8
127,Pinsir,http://bulbapedia.bulbagarden.net/wiki/Pinsir_(Pok%C3%A9mon),Bug,Bug,3
128,Tauros,http://bulbapedia.bulbagarden.net/wiki/Tauros_(Pok%C3%A9mon),Normal,Field,5
129,Magikarp,http://bulbapedia.bulbagarden.net/wiki/Magikarp_(Pok%C3%A9mon),Water,Water 2,12
130,Gyarados,http://bulbapedia.bulbagarden.net/wiki/Gyarados_(Pok%C3%A9mon),Water,Water 2,12
131,Lapras,http://bulbapedia.bulbagarden.net/wiki/Lapras_(Pok%C3%A9mon),Water,Monster,1
132,Ditto,http://bulbapedia.bulbagarden.net/wiki/Ditto_(Pok%C3%A9mon),Normal,Ditto,13
133,Eevee,http://bulbapedia.bulbagarden.net/wiki/Eevee_(Pok%C3%A9mon),Normal,Field,5
134,Vaporeon,http://bulbapedia.bulbagarden.net/wiki/Vaporeon_(Pok%C3%A9mon),Water,Field,5
135,Jolteon,http://bulbapedia.bulbagarden.net/wiki/Jolteon_(Pok%C3%A9mon),Electric,Field,5
136,Flareon,http://bulbapedia.bulbagarden.net/wiki/Flareon_(Pok%C3%A9mon),Fire,Field,5
137,Porygon,http://bulbapedia.bulbagarden.net/wiki/Porygon_(Pok%C3%A9mon),Normal,Mineral,10
138,Omanyte,http://bulbapedia.bulbagarden.net/wiki/Omanyte_(Pok%C3%A9mon),Rock,Water 1,2
139,Omastar,http://bulbapedia.bulbagarden.net/wiki/Omastar_(Pok%C3%A9mon),Rock,Water 1,2
140,Kabuto,http://bulbapedia.bulbagarden.net/wiki/Kabuto_(Pok%C3%A9mon),Rock,Water 1,2
141,Kabutops,http://bulbapedia.bulbagarden.net/wiki/Kabutops_(Pok%C3%A9mon),Rock,Water 1,2
142,Aerodactyl,http://bulbapedia.bulbagarden.net/wiki/Aerodactyl_(Pok%C3%A9mon),Rock,Flying,4
143,Snorlax,http://bulbapedia.bulbagarden.net/wiki/Snorlax_(Pok%C3%A9mon),Normal,Monster,1
144,Articuno,http://bulbapedia.bulbagarden.net/wiki/Articuno_(Pok%C3%A9mon),Ice,Undiscovered,15
145,Zapdos,http://bulbapedia.bulbagarden.net/wiki/Zapdos_(Pok%C3%A9mon),Electric,Undiscovered,15
146,Moltres,http://bulbapedia.bulbagarden.net/wiki/Moltres_(Pok%C3%A9mon),Fire,Undiscovered,15
147,Dratini,http://bulbapedia.bulbagarden.net/wiki/Dratini_(Pok%C3%A9mon),Dragon,Water 1,2
148,Dragonair,http://bulbapedia.bulbagarden.net/wiki/Dragonair_(Pok%C3%A9mon),Dragon,Water 1,2
149,Dragonite,http://bulbapedia.bulbagarden.net/wiki/Dragonite_(Pok%C3%A9mon),Dragon,Water 1,2
150,Mewtwo,http://bulbapedia.bulbagarden.net/wiki/Mewtwo_(Pok%C3%A9mon),Psychic,Undiscovered,15
151,Mew,http://bulbapedia.bulbagarden.net/wiki/Mew_(Pok%C3%A9mon),Psychic,Undiscovered,15
152,Chikorita,http://bulbapedia.bulbagarden.net/wiki/Chikorita_(Pok%C3%A9mon),Grass,Monster,1
153,Bayleef,http://bulbapedia.bulbagarden.net/wiki/Bayleef_(Pok%C3%A9mon),Grass,Monster,1
154,Meganium,http://bulbapedia.bulbagarden.net/wiki/Meganium_(Pok%C3%A9mon),Grass,Monster,1
155,Cyndaquil,http://bulbapedia.bulbagarden.net/wiki/Cyndaquil_(Pok%C3%A9mon),Fire,Field,5
156,Quilava,http://bulbapedia.bulbagarden.net/wiki/Quilava_(Pok%C3%A9mon),Fire,Field,5
157,Typhlosion,http://bulbapedia.bulbagarden.net/wiki/Typhlosion_(Pok%C3%A9mon),Fire,Field,5
158,Totodile,http://bulbapedia.bulbagarden.net/wiki/Totodile_(Pok%C3%A9mon),Water,Monster,1
159,Croconaw,http://bulbapedia.bulbagarden.net/wiki/Croconaw_(Pok%C3%A9mon),Water,Monster,1
160,Feraligatr,http://bulbapedia.bulbagarden.net/wiki/Feraligatr_(Pok%C3%A9mon),Water,Monster,1
161,Sentret,http://bulbapedia.bulbagarden.net/wiki/Sentret_(Pok%C3%A9mon),Normal,Field,5
162,Furret,http://bulbapedia.bulbagarden.net/wiki/Furret_(Pok%C3%A9mon),Normal,Field,5
163,Hoothoot,http://bulbapedia.bulbagarden.net/wiki/Hoothoot_(Pok%C3%A9mon),Normal,Flying,4
164,Noctowl,http://bulbapedia.bulbagarden.net/wiki/Noctowl_(Pok%C3%A9mon),Normal,Flying,4
165,Ledyba,http://bulbapedia.bulbagarden.net/wiki/Ledyba_(Pok%C3%A9mon),Bug,Bug,3
166,Ledian,http://bulbapedia.bulbagarden.net/wiki/Ledian_(Pok%C3%A9mon),Bug,Bug,3
167,Spinarak,http://bulbapedia.bulbagarden.net/wiki/Spinarak_(Pok%C3%A9mon),Bug,Bug,3
168,Ariados,http://bulbapedia.bulbagarden.net/wiki/Ariados_(Pok%C3%A9mon),Bug,Bug,3
169,Crobat,http://bulbapedia.bulbagarden.net/wiki/Crobat_(Pok%C3%A9mon),Poison,Flying,4
170,Chinchou,http://bulbapedia.bulbagarden.net/wiki/Chinchou_(Pok%C3%A9mon),Water,Water 2,12
171,Lanturn,http://bulbapedia.bulbagarden.net/wiki/Lanturn_(Pok%C3%A9mon),Water,Water 2,12
172,Pichu,http://bulbapedia.bulbagarden.net/wiki/Pichu_(Pok%C3%A9mon),Electric,Undiscovered,15
173,Cleffa,http://bulbapedia.bulbagarden.net/wiki/Cleffa_(Pok%C3%A9mon),Fairy,Undiscovered,15
174,Igglybuff,http://bulbapedia.bulbagarden.net/wiki/Igglybuff_(Pok%C3%A9mon),Normal,Undiscovered,15
175,Togepi,http://bulbapedia.bulbagarden.net/wiki/Togepi_(Pok%C3%A9mon),Fairy,Undiscovered,15
176,Togetic,http://bulbapedia.bulbagarden.net/wiki/Togetic_(Pok%C3%A9mon),Fairy,Flying,4
177,Natu,http://bulbapedia.bulbagarden.net/wiki/Natu_(Pok%C3%A9mon),Psychic,Flying,4
178,Xatu,http://bulbapedia.bulbagarden.net/wiki/Xatu_(Pok%C3%A9mon),Psychic,Flying,4
179,Mareep,http://bulbapedia.bulbagarden.net/wiki/Mareep_(Pok%C3%A9mon),Electric,Monster,1
180,Flaaffy,http://bulbapedia.bulbagarden.net/wiki/Flaaffy_(Pok%C3%A9mon),Electric,Monster,1
181,Ampharos,http://bulbapedia.bulbagarden.net/wiki/Ampharos_(Pok%C3%A9mon),Electric,Monster,1
182,Bellossom,http://bulbapedia.bulbagarden.net/wiki/Bellossom_(Pok%C3%A9mon),Grass,Grass,7
183,Marill,http://bulbapedia.bulbagarden.net/wiki/Marill_(Pok%C3%A9mon),Water,Water 1,2
184,Azumarill,http://bulbapedia.bulbagarden.net/wiki/Azumarill_(Pok%C3%A9mon),Water,Water 1,2
185,Sudowoodo,http://bulbapedia.bulbagarden.net/wiki/Sudowoodo_(Pok%C3%A9mon),Rock,Mineral,10
186,Politoed,http://bulbapedia.bulbagarden.net/wiki/Politoed_(Pok%C3%A9mon),Water,Water 1,2
187,Hoppip,http://bulbapedia.bulbagarden.net/wiki/Hoppip_(Pok%C3%A9mon),Grass,Fairy,6
188,Skiploom,http://bulbapedia.bulbagarden.net/wiki/Skiploom_(Pok%C3%A9mon),Grass,Fairy,6
189,Jumpluff,http://bulbapedia.bulbagarden.net/wiki/Jumpluff_(Pok%C3%A9mon),Grass,Fairy,6
190,Aipom,http://bulbapedia.bulbagarden.net/wiki/Aipom_(Pok%C3%A9mon),Normal,Field,5
191,Sunkern,http://bulbapedia.bulbagarden.net/wiki/Sunkern_(Pok%C3%A9mon),Grass,Grass,7
192,Sunflora,http://bulbapedia.bulbagarden.net/wiki/Sunflora_(Pok%C3%A9mon),Grass,Grass,7
193,Yanma,http://bulbapedia.bulbagarden.net/wiki/Yanma_(Pok%C3%A9mon),Bug,Bug,3
194,Wooper,http://bulbapedia.bulbagarden.net/wiki/Wooper_(Pok%C3%A9mon),Water,Water 1,2
195,Quagsire,http://bulbapedia.bulbagarden.net/wiki/Quagsire_(Pok%C3%A9mon),Water,Water 1,2
196,Espeon,http://bulbapedia.bulbagarden.net/wiki/Espeon_(Pok%C3%A9mon),Psychic,Field,5
197,Umbreon,http://bulbapedia.bulbagarden.net/wiki/Umbreon_(Pok%C3%A9mon),Dark,Field,5
198,Murkrow,http://bulbapedia.bulbagarden.net/wiki/Murkrow_(Pok%C3%A9mon),Dark,Flying,4
199,Slowking,http://bulbapedia.bulbagarden.net/wiki/Slowking_(Pok%C3%A9mon),Water,Monster,1
200,Misdreavus,http://bulbapedia.bulbagarden.net/wiki/Misdreavus_(Pok%C3%A9mon),Ghost,Amorphous,11
201,Unown,http://bulbapedia.bulbagarden.net/wiki/Unown_(Pok%C3%A9mon),Psychic,Undiscovered,15
202,Wobbuffet,http://bulbapedia.bulbagarden.net/wiki/Wobbuffet_(Pok%C3%A9mon),Psychic,Amorphous,11
203,Girafarig,http://bulbapedia.bulbagarden.net/wiki/Girafarig_(Pok%C3%A9mon),Normal,Field,5
204,Pineco,http://bulbapedia.bulbagarden.net/wiki/Pineco_(Pok%C3%A9mon),Bug,Bug,3
205,Forretress,http://bulbapedia.bulbagarden.net/wiki/Forretress_(Pok%C3%A9mon),Bug,Bug,3
206,Dunsparce,http://bulbapedia.bulbagarden.net/wiki/Dunsparce_(Pok%C3%A9mon),Normal,Field,5
207,Gligar,http://bulbapedia.bulbagarden.net/wiki/Gligar_(Pok%C3%A9mon),Ground,Bug,3
208,Steelix,http://bulbapedia.bulbagarden.net/wiki/Steelix_(Pok%C3%A9mon),Steel,Mineral,10
209,Snubbull,http://bulbapedia.bulbagarden.net/wiki/Snubbull_(Pok%C3%A9mon),Fairy,Field,5
210,Granbull,http://bulbapedia.bulbagarden.net/wiki/Granbull_(Pok%C3%A9mon),Fairy,Field,5
211,Qwilfish,http://bulbapedia.bulbagarden.net/wiki/Qwilfish_(Pok%C3%A9mon),Water,Water 2,12
212,Scizor,http://bulbapedia.bulbagarden.net/wiki/Scizor_(Pok%C3%A9mon),Bug,Bug,3
213,Shuckle,http://bulbapedia.bulbagarden.net/wiki/Shuckle_(Pok%C3%A9mon),Bug,Bug,3
214,Heracross,http://bulbapedia.bulbagarden.net/wiki/Heracross_(Pok%C3%A9mon),Bug,Bug,3
215,Sneasel,http://bulbapedia.bulbagarden.net/wiki/Sneasel_(Pok%C3%A9mon),Dark,Field,5
216,Teddiursa,http://bulbapedia.bulbagarden.net/wiki/Teddiursa_(Pok%C3%A9mon),Normal,Field,5
217,Ursaring,http://bulbapedia.bulbagarden.net/wiki/Ursaring_(Pok%C3%A9mon),Normal,Field,5
218,Slugma,http://bulbapedia.bulbagarden.net/wiki/Slugma_(Pok%C3%A9mon),Fire,Amorphous,11
219,Magcargo,http://bulbapedia.bulbagarden.net/wiki/Magcargo_(Pok%C3%A9mon),Fire,Amorphous,11
220,Swinub,http://bulbapedia.bulbagarden.net/wiki/Swinub_(Pok%C3%A9mon),Ice,Field,5
221,Piloswine,http://bulbapedia.bulbagarden.net/wiki/Piloswine_(Pok%C3%A9mon),Ice,Field,5
222,Corsola,http://bulbapedia.bulbagarden.net/wiki/Corsola_(Pok%C3%A9mon),Water,Water 1,2
223,Remoraid,http://bulbapedia.bulbagarden.net/wiki/Remoraid_(Pok%C3%A9mon),Water,Water 1,2
224,Octillery,http://bulbapedia.bulbagarden.net/wiki/Octillery_(Pok%C3%A9mon),Water,Water 1,2
225,Delibird,http://bulbapedia.bulbagarden.net/wiki/Delibird_(Pok%C3%A9mon),Ice,Water 1,2
226,Mantine,http://bulbapedia.bulbagarden.net/wiki/Mantine_(Pok%C3%A9mon),Water,Water 1,2
227,Skarmory,http://bulbapedia.bulbagarden.net/wiki/Skarmory_(Pok%C3%A9mon),Steel,Flying,4
228,Houndour,http://bulbapedia.bulbagarden.net/wiki/Houndour_(Pok%C3%A9mon),Dark,Field,5
229,Houndoom,http://bulbapedia.bulbagarden.net/wiki/Houndoom_(Pok%C3%A9mon),Dark,Field,5
230,Kingdra,http://bulbapedia.bulbagarden.net/wiki/Kingdra_(Pok%C3%A9mon),Water,Water 1,2
231,Phanpy,http://bulbapedia.bulbagarden.net/wiki/Phanpy_(Pok%C3%A9mon),Ground,Field,5
232,Donphan,http://bulbapedia.bulbagarden.net/wiki/Donphan_(Pok%C3%A9mon),Ground,Field,5
233,Porygon2,http://bulbapedia.bulbagarden.net/wiki/Porygon2_(Pok%C3%A9mon),Normal,Mineral,10
234,Stantler,http://bulbapedia.bulbagarden.net/wiki/Stantler_(Pok%C3%A9mon),Normal,Field,5
235,Smeargle,http://bulbapedia.bulbagarden.net/wiki/Smeargle_(Pok%C3%A9mon),Normal,Field,5
236,Tyrogue,http://bulbapedia.bulbagarden.net/wiki/Tyrogue_(Pok%C3%A9mon),Fighting,Undiscovered,15
237,Hitmontop,http://bulbapedia.bulbagarden.net/wiki/Hitmontop_(Pok%C3%A9mon),Fighting,Human-Like,8
