collection1,,,,
Number,Name,NameLink,Egg1,Egg1Link
15,Beedrill,http://bulbapedia.bulbagarden.net/wiki/Beedrill_(Pok%C3%A9mon),Bug,http://bulbapedia.bulbagarden.net/wiki/Bug_(Egg_Group)
16,Pidgey,http://bulbapedia.bulbagarden.net/wiki/Pidgey_(Pok%C3%A9mon),Flying,http://bulbapedia.bulbagarden.net/wiki/Flying_(Egg_Group)
17,Pidgeotto,http://bulbapedia.bulbagarden.net/wiki/Pidgeotto_(Pok%C3%A9mon),Flying,http://bulbapedia.bulbagarden.net/wiki/Flying_(Egg_Group)
18,Pidgeot,http://bulbapedia.bulbagarden.net/wiki/Pidgeot_(Pok%C3%A9mon),Flying,http://bulbapedia.bulbagarden.net/wiki/Flying_(Egg_Group)
19,Rattata,http://bulbapedia.bulbagarden.net/wiki/Rattata_(Pok%C3%A9mon),Field,http://bulbapedia.bulbagarden.net/wiki/Field_(Egg_Group)
20,Raticate,http://bulbapedia.bulbagarden.net/wiki/Raticate_(Pok%C3%A9mon),Field,http://bulbapedia.bulbagarden.net/wiki/Field_(Egg_Group)
21,Spearow,http://bulbapedia.bulbagarden.net/wiki/Spearow_(Pok%C3%A9mon),Flying,http://bulbapedia.bulbagarden.net/wiki/Flying_(Egg_Group)
22,Fearow,http://bulbapedia.bulbagarden.net/wiki/Fearow_(Pok%C3%A9mon),Flying,http://bulbapedia.bulbagarden.net/wiki/Flying_(Egg_Group)
23,Ekans,http://bulbapedia.bulbagarden.net/wiki/Ekans_(Pok%C3%A9mon),Field,http://bulbapedia.bulbagarden.net/wiki/Field_(Egg_Group)
24,Arbok,http://bulbapedia.bulbagarden.net/wiki/Arbok_(Pok%C3%A9mon),Field,http://bulbapedia.bulbagarden.net/wiki/Field_(Egg_Group)
25,Pikachu,http://bulbapedia.bulbagarden.net/wiki/Pikachu_(Pok%C3%A9mon),Field,http://bulbapedia.bulbagarden.net/wiki/Field_(Egg_Group)
26,Raichu,http://bulbapedia.bulbagarden.net/wiki/Raichu_(Pok%C3%A9mon),Field,http://bulbapedia.bulbagarden.net/wiki/Field_(Egg_Group)
27,Sandshrew,http://bulbapedia.bulbagarden.net/wiki/Sandshrew_(Pok%C3%A9mon),Field,http://bulbapedia.bulbagarden.net/wiki/Field_(Egg_Group)
28,Sandslash,http://bulbapedia.bulbagarden.net/wiki/Sandslash_(Pok%C3%A9mon),Field,http://bulbapedia.bulbagarden.net/wiki/Field_(Egg_Group)
29,Nidoran‰ªÛ,http://bulbapedia.bulbagarden.net/wiki/Nidoran%E2%99%80_(Pok%C3%A9mon),Monster,http://bulbapedia.bulbagarden.net/wiki/Monster_(Egg_Group)
30,Nidorina,http://bulbapedia.bulbagarden.net/wiki/Nidorina_(Pok%C3%A9mon),Undiscovered,http://bulbapedia.bulbagarden.net/wiki/Undiscovered_(Egg_Group)
31,Nidoqueen,http://bulbapedia.bulbagarden.net/wiki/Nidoqueen_(Pok%C3%A9mon),Undiscovered,http://bulbapedia.bulbagarden.net/wiki/Undiscovered_(Egg_Group)
32,Nidoran‰ªâ,http://bulbapedia.bulbagarden.net/wiki/Nidoran%E2%99%82_(Pok%C3%A9mon),Monster,http://bulbapedia.bulbagarden.net/wiki/Monster_(Egg_Group)
33,Nidorino,http://bulbapedia.bulbagarden.net/wiki/Nidorino_(Pok%C3%A9mon),Monster,http://bulbapedia.bulbagarden.net/wiki/Monster_(Egg_Group)
34,Nidoking,http://bulbapedia.bulbagarden.net/wiki/Nidoking_(Pok%C3%A9mon),Monster,http://bulbapedia.bulbagarden.net/wiki/Monster_(Egg_Group)
35,Clefairy,http://bulbapedia.bulbagarden.net/wiki/Clefairy_(Pok%C3%A9mon),Fairy,http://bulbapedia.bulbagarden.net/wiki/Fairy_(Egg_Group)
36,Clefable,http://bulbapedia.bulbagarden.net/wiki/Clefable_(Pok%C3%A9mon),Fairy,http://bulbapedia.bulbagarden.net/wiki/Fairy_(Egg_Group)
37,Vulpix,http://bulbapedia.bulbagarden.net/wiki/Vulpix_(Pok%C3%A9mon),Field,http://bulbapedia.bulbagarden.net/wiki/Field_(Egg_Group)
38,Ninetales,http://bulbapedia.bulbagarden.net/wiki/Ninetales_(Pok%C3%A9mon),Field,http://bulbapedia.bulbagarden.net/wiki/Field_(Egg_Group)
39,Jigglypuff,http://bulbapedia.bulbagarden.net/wiki/Jigglypuff_(Pok%C3%A9mon),Fairy,http://bulbapedia.bulbagarden.net/wiki/Fairy_(Egg_Group)
40,Wigglytuff,http://bulbapedia.bulbagarden.net/wiki/Wigglytuff_(Pok%C3%A9mon),Fairy,http://bulbapedia.bulbagarden.net/wiki/Fairy_(Egg_Group)
41,Zubat,http://bulbapedia.bulbagarden.net/wiki/Zubat_(Pok%C3%A9mon),Flying,http://bulbapedia.bulbagarden.net/wiki/Flying_(Egg_Group)
42,Golbat,http://bulbapedia.bulbagarden.net/wiki/Golbat_(Pok%C3%A9mon),Flying,http://bulbapedia.bulbagarden.net/wiki/Flying_(Egg_Group)
43,Oddish,http://bulbapedia.bulbagarden.net/wiki/Oddish_(Pok%C3%A9mon),Grass,http://bulbapedia.bulbagarden.net/wiki/Grass_(Egg_Group)
44,Gloom,http://bulbapedia.bulbagarden.net/wiki/Gloom_(Pok%C3%A9mon),Grass,http://bulbapedia.bulbagarden.net/wiki/Grass_(Egg_Group)
45,Vileplume,http://bulbapedia.bulbagarden.net/wiki/Vileplume_(Pok%C3%A9mon),Grass,http://bulbapedia.bulbagarden.net/wiki/Grass_(Egg_Group)
46,Paras,http://bulbapedia.bulbagarden.net/wiki/Paras_(Pok%C3%A9mon),Bug,http://bulbapedia.bulbagarden.net/wiki/Bug_(Egg_Group)
47,Parasect,http://bulbapedia.bulbagarden.net/wiki/Parasect_(Pok%C3%A9mon),Bug,http://bulbapedia.bulbagarden.net/wiki/Bug_(Egg_Group)
48,Venonat,http://bulbapedia.bulbagarden.net/wiki/Venonat_(Pok%C3%A9mon),Bug,http://bulbapedia.bulbagarden.net/wiki/Bug_(Egg_Group)
49,Venomoth,http://bulbapedia.bulbagarden.net/wiki/Venomoth_(Pok%C3%A9mon),Bug,http://bulbapedia.bulbagarden.net/wiki/Bug_(Egg_Group)
50,Diglett,http://bulbapedia.bulbagarden.net/wiki/Diglett_(Pok%C3%A9mon),Field,http://bulbapedia.bulbagarden.net/wiki/Field_(Egg_Group)
51,Dugtrio,http://bulbapedia.bulbagarden.net/wiki/Dugtrio_(Pok%C3%A9mon),Field,http://bulbapedia.bulbagarden.net/wiki/Field_(Egg_Group)
52,Meowth,http://bulbapedia.bulbagarden.net/wiki/Meowth_(Pok%C3%A9mon),Field,http://bulbapedia.bulbagarden.net/wiki/Field_(Egg_Group)
53,Persian,http://bulbapedia.bulbagarden.net/wiki/Persian_(Pok%C3%A9mon),Field,http://bulbapedia.bulbagarden.net/wiki/Field_(Egg_Group)
54,Psyduck,http://bulbapedia.bulbagarden.net/wiki/Psyduck_(Pok%C3%A9mon),Water 1,http://bulbapedia.bulbagarden.net/wiki/Water_1_(Egg_Group)
55,Golduck,http://bulbapedia.bulbagarden.net/wiki/Golduck_(Pok%C3%A9mon),Water 1,http://bulbapedia.bulbagarden.net/wiki/Water_1_(Egg_Group)
56,Mankey,http://bulbapedia.bulbagarden.net/wiki/Mankey_(Pok%C3%A9mon),Field,http://bulbapedia.bulbagarden.net/wiki/Field_(Egg_Group)
57,Primeape,http://bulbapedia.bulbagarden.net/wiki/Primeape_(Pok%C3%A9mon),Field,http://bulbapedia.bulbagarden.net/wiki/Field_(Egg_Group)
58,Growlithe,http://bulbapedia.bulbagarden.net/wiki/Growlithe_(Pok%C3%A9mon),Field,http://bulbapedia.bulbagarden.net/wiki/Field_(Egg_Group)
59,Arcanine,http://bulbapedia.bulbagarden.net/wiki/Arcanine_(Pok%C3%A9mon),Field,http://bulbapedia.bulbagarden.net/wiki/Field_(Egg_Group)
60,Poliwag,http://bulbapedia.bulbagarden.net/wiki/Poliwag_(Pok%C3%A9mon),Water 1,http://bulbapedia.bulbagarden.net/wiki/Water_1_(Egg_Group)
61,Poliwhirl,http://bulbapedia.bulbagarden.net/wiki/Poliwhirl_(Pok%C3%A9mon),Water 1,http://bulbapedia.bulbagarden.net/wiki/Water_1_(Egg_Group)
62,Poliwrath,http://bulbapedia.bulbagarden.net/wiki/Poliwrath_(Pok%C3%A9mon),Water 1,http://bulbapedia.bulbagarden.net/wiki/Water_1_(Egg_Group)
63,Abra,http://bulbapedia.bulbagarden.net/wiki/Abra_(Pok%C3%A9mon),Human-Like,http://bulbapedia.bulbagarden.net/wiki/Human-Like_(Egg_Group)
64,Kadabra,http://bulbapedia.bulbagarden.net/wiki/Kadabra_(Pok%C3%A9mon),Human-Like,http://bulbapedia.bulbagarden.net/wiki/Human-Like_(Egg_Group)
65,Alakazam,http://bulbapedia.bulbagarden.net/wiki/Alakazam_(Pok%C3%A9mon),Human-Like,http://bulbapedia.bulbagarden.net/wiki/Human-Like_(Egg_Group)
66,Machop,http://bulbapedia.bulbagarden.net/wiki/Machop_(Pok%C3%A9mon),Human-Like,http://bulbapedia.bulbagarden.net/wiki/Human-Like_(Egg_Group)
67,Machoke,http://bulbapedia.bulbagarden.net/wiki/Machoke_(Pok%C3%A9mon),Human-Like,http://bulbapedia.bulbagarden.net/wiki/Human-Like_(Egg_Group)
68,Machamp,http://bulbapedia.bulbagarden.net/wiki/Machamp_(Pok%C3%A9mon),Human-Like,http://bulbapedia.bulbagarden.net/wiki/Human-Like_(Egg_Group)
69,Bellsprout,http://bulbapedia.bulbagarden.net/wiki/Bellsprout_(Pok%C3%A9mon),Grass,http://bulbapedia.bulbagarden.net/wiki/Grass_(Egg_Group)
70,Weepinbell,http://bulbapedia.bulbagarden.net/wiki/Weepinbell_(Pok%C3%A9mon),Grass,http://bulbapedia.bulbagarden.net/wiki/Grass_(Egg_Group)
71,Victreebel,http://bulbapedia.bulbagarden.net/wiki/Victreebel_(Pok%C3%A9mon),Grass,http://bulbapedia.bulbagarden.net/wiki/Grass_(Egg_Group)
72,Tentacool,http://bulbapedia.bulbagarden.net/wiki/Tentacool_(Pok%C3%A9mon),Water 3,http://bulbapedia.bulbagarden.net/wiki/Water_3_(Egg_Group)
73,Tentacruel,http://bulbapedia.bulbagarden.net/wiki/Tentacruel_(Pok%C3%A9mon),Water 3,http://bulbapedia.bulbagarden.net/wiki/Water_3_(Egg_Group)
74,Geodude,http://bulbapedia.bulbagarden.net/wiki/Geodude_(Pok%C3%A9mon),Mineral,http://bulbapedia.bulbagarden.net/wiki/Mineral_(Egg_Group)
75,Graveler,http://bulbapedia.bulbagarden.net/wiki/Graveler_(Pok%C3%A9mon),Mineral,http://bulbapedia.bulbagarden.net/wiki/Mineral_(Egg_Group)
76,Golem,http://bulbapedia.bulbagarden.net/wiki/Golem_(Pok%C3%A9mon),Mineral,http://bulbapedia.bulbagarden.net/wiki/Mineral_(Egg_Group)
77,Ponyta,http://bulbapedia.bulbagarden.net/wiki/Ponyta_(Pok%C3%A9mon),Field,http://bulbapedia.bulbagarden.net/wiki/Field_(Egg_Group)
78,Rapidash,http://bulbapedia.bulbagarden.net/wiki/Rapidash_(Pok%C3%A9mon),Field,http://bulbapedia.bulbagarden.net/wiki/Field_(Egg_Group)
79,Slowpoke,http://bulbapedia.bulbagarden.net/wiki/Slowpoke_(Pok%C3%A9mon),Monster,http://bulbapedia.bulbagarden.net/wiki/Monster_(Egg_Group)
80,Slowbro,http://bulbapedia.bulbagarden.net/wiki/Slowbro_(Pok%C3%A9mon),Monster,http://bulbapedia.bulbagarden.net/wiki/Monster_(Egg_Group)
81,Magnemite,http://bulbapedia.bulbagarden.net/wiki/Magnemite_(Pok%C3%A9mon),Mineral,http://bulbapedia.bulbagarden.net/wiki/Mineral_(Egg_Group)
82,Magneton,http://bulbapedia.bulbagarden.net/wiki/Magneton_(Pok%C3%A9mon),Mineral,http://bulbapedia.bulbagarden.net/wiki/Mineral_(Egg_Group)
83,Farfetch'd,http://bulbapedia.bulbagarden.net/wiki/Farfetch%27d_(Pok%C3%A9mon),Flying,http://bulbapedia.bulbagarden.net/wiki/Flying_(Egg_Group)
84,Doduo,http://bulbapedia.bulbagarden.net/wiki/Doduo_(Pok%C3%A9mon),Flying,http://bulbapedia.bulbagarden.net/wiki/Flying_(Egg_Group)
85,Dodrio,http://bulbapedia.bulbagarden.net/wiki/Dodrio_(Pok%C3%A9mon),Flying,http://bulbapedia.bulbagarden.net/wiki/Flying_(Egg_Group)
86,Seel,http://bulbapedia.bulbagarden.net/wiki/Seel_(Pok%C3%A9mon),Water 1,http://bulbapedia.bulbagarden.net/wiki/Water_1_(Egg_Group)
87,Dewgong,http://bulbapedia.bulbagarden.net/wiki/Dewgong_(Pok%C3%A9mon),Water 1,http://bulbapedia.bulbagarden.net/wiki/Water_1_(Egg_Group)
88,Grimer,http://bulbapedia.bulbagarden.net/wiki/Grimer_(Pok%C3%A9mon),Amorphous,http://bulbapedia.bulbagarden.net/wiki/Amorphous_(Egg_Group)
89,Muk,http://bulbapedia.bulbagarden.net/wiki/Muk_(Pok%C3%A9mon),Amorphous,http://bulbapedia.bulbagarden.net/wiki/Amorphous_(Egg_Group)
90,Shellder,http://bulbapedia.bulbagarden.net/wiki/Shellder_(Pok%C3%A9mon),Water 3,http://bulbapedia.bulbagarden.net/wiki/Water_3_(Egg_Group)
91,Cloyster,http://bulbapedia.bulbagarden.net/wiki/Cloyster_(Pok%C3%A9mon),Water 3,http://bulbapedia.bulbagarden.net/wiki/Water_3_(Egg_Group)
92,Gastly,http://bulbapedia.bulbagarden.net/wiki/Gastly_(Pok%C3%A9mon),Amorphous,http://bulbapedia.bulbagarden.net/wiki/Amorphous_(Egg_Group)
93,Haunter,http://bulbapedia.bulbagarden.net/wiki/Haunter_(Pok%C3%A9mon),Amorphous,http://bulbapedia.bulbagarden.net/wiki/Amorphous_(Egg_Group)
94,Gengar,http://bulbapedia.bulbagarden.net/wiki/Gengar_(Pok%C3%A9mon),Amorphous,http://bulbapedia.bulbagarden.net/wiki/Amorphous_(Egg_Group)
95,Onix,http://bulbapedia.bulbagarden.net/wiki/Onix_(Pok%C3%A9mon),Mineral,http://bulbapedia.bulbagarden.net/wiki/Mineral_(Egg_Group)
96,Drowzee,http://bulbapedia.bulbagarden.net/wiki/Drowzee_(Pok%C3%A9mon),Human-Like,http://bulbapedia.bulbagarden.net/wiki/Human-Like_(Egg_Group)
97,Hypno,http://bulbapedia.bulbagarden.net/wiki/Hypno_(Pok%C3%A9mon),Human-Like,http://bulbapedia.bulbagarden.net/wiki/Human-Like_(Egg_Group)
98,Krabby,http://bulbapedia.bulbagarden.net/wiki/Krabby_(Pok%C3%A9mon),Water 3,http://bulbapedia.bulbagarden.net/wiki/Water_3_(Egg_Group)
99,Kingler,http://bulbapedia.bulbagarden.net/wiki/Kingler_(Pok%C3%A9mon),Water 3,http://bulbapedia.bulbagarden.net/wiki/Water_3_(Egg_Group)
100,Voltorb,http://bulbapedia.bulbagarden.net/wiki/Voltorb_(Pok%C3%A9mon),Mineral,http://bulbapedia.bulbagarden.net/wiki/Mineral_(Egg_Group)
101,Electrode,http://bulbapedia.bulbagarden.net/wiki/Electrode_(Pok%C3%A9mon),Mineral,http://bulbapedia.bulbagarden.net/wiki/Mineral_(Egg_Group)
102,Exeggcute,http://bulbapedia.bulbagarden.net/wiki/Exeggcute_(Pok%C3%A9mon),Grass,http://bulbapedia.bulbagarden.net/wiki/Grass_(Egg_Group)
103,Exeggutor,http://bulbapedia.bulbagarden.net/wiki/Exeggutor_(Pok%C3%A9mon),Grass,http://bulbapedia.bulbagarden.net/wiki/Grass_(Egg_Group)
104,Cubone,http://bulbapedia.bulbagarden.net/wiki/Cubone_(Pok%C3%A9mon),Monster,http://bulbapedia.bulbagarden.net/wiki/Monster_(Egg_Group)
105,Marowak,http://bulbapedia.bulbagarden.net/wiki/Marowak_(Pok%C3%A9mon),Monster,http://bulbapedia.bulbagarden.net/wiki/Monster_(Egg_Group)
106,Hitmonlee,http://bulbapedia.bulbagarden.net/wiki/Hitmonlee_(Pok%C3%A9mon),Human-Like,http://bulbapedia.bulbagarden.net/wiki/Human-Like_(Egg_Group)
107,Hitmonchan,http://bulbapedia.bulbagarden.net/wiki/Hitmonchan_(Pok%C3%A9mon),Human-Like,http://bulbapedia.bulbagarden.net/wiki/Human-Like_(Egg_Group)
108,Lickitung,http://bulbapedia.bulbagarden.net/wiki/Lickitung_(Pok%C3%A9mon),Monster,http://bulbapedia.bulbagarden.net/wiki/Monster_(Egg_Group)
109,Koffing,http://bulbapedia.bulbagarden.net/wiki/Koffing_(Pok%C3%A9mon),Amorphous,http://bulbapedia.bulbagarden.net/wiki/Amorphous_(Egg_Group)
110,Weezing,http://bulbapedia.bulbagarden.net/wiki/Weezing_(Pok%C3%A9mon),Amorphous,http://bulbapedia.bulbagarden.net/wiki/Amorphous_(Egg_Group)
111,Rhyhorn,http://bulbapedia.bulbagarden.net/wiki/Rhyhorn_(Pok%C3%A9mon),Monster,http://bulbapedia.bulbagarden.net/wiki/Monster_(Egg_Group)
112,Rhydon,http://bulbapedia.bulbagarden.net/wiki/Rhydon_(Pok%C3%A9mon),Monster,http://bulbapedia.bulbagarden.net/wiki/Monster_(Egg_Group)
113,Chansey,http://bulbapedia.bulbagarden.net/wiki/Chansey_(Pok%C3%A9mon),Fairy,http://bulbapedia.bulbagarden.net/wiki/Fairy_(Egg_Group)
114,Tangela,http://bulbapedia.bulbagarden.net/wiki/Tangela_(Pok%C3%A9mon),Grass,http://bulbapedia.bulbagarden.net/wiki/Grass_(Egg_Group)
115,Kangaskhan,http://bulbapedia.bulbagarden.net/wiki/Kangaskhan_(Pok%C3%A9mon),Monster,http://bulbapedia.bulbagarden.net/wiki/Monster_(Egg_Group)
116,Horsea,http://bulbapedia.bulbagarden.net/wiki/Horsea_(Pok%C3%A9mon),Water 1,http://bulbapedia.bulbagarden.net/wiki/Water_1_(Egg_Group)
117,Seadra,http://bulbapedia.bulbagarden.net/wiki/Seadra_(Pok%C3%A9mon),Water 1,http://bulbapedia.bulbagarden.net/wiki/Water_1_(Egg_Group)
118,Goldeen,http://bulbapedia.bulbagarden.net/wiki/Goldeen_(Pok%C3%A9mon),Water 2,http://bulbapedia.bulbagarden.net/wiki/Water_2_(Egg_Group)
119,Seaking,http://bulbapedia.bulbagarden.net/wiki/Seaking_(Pok%C3%A9mon),Water 2,http://bulbapedia.bulbagarden.net/wiki/Water_2_(Egg_Group)
120,Staryu,http://bulbapedia.bulbagarden.net/wiki/Staryu_(Pok%C3%A9mon),Water 3,http://bulbapedia.bulbagarden.net/wiki/Water_3_(Egg_Group)
121,Starmie,http://bulbapedia.bulbagarden.net/wiki/Starmie_(Pok%C3%A9mon),Water 3,http://bulbapedia.bulbagarden.net/wiki/Water_3_(Egg_Group)
122,Mr. Mime,http://bulbapedia.bulbagarden.net/wiki/Mr._Mime_(Pok%C3%A9mon),Human-Like,http://bulbapedia.bulbagarden.net/wiki/Human-Like_(Egg_Group)
123,Scyther,http://bulbapedia.bulbagarden.net/wiki/Scyther_(Pok%C3%A9mon),Bug,http://bulbapedia.bulbagarden.net/wiki/Bug_(Egg_Group)
124,Jynx,http://bulbapedia.bulbagarden.net/wiki/Jynx_(Pok%C3%A9mon),Human-Like,http://bulbapedia.bulbagarden.net/wiki/Human-Like_(Egg_Group)
125,Electabuzz,http://bulbapedia.bulbagarden.net/wiki/Electabuzz_(Pok%C3%A9mon),Human-Like,http://bulbapedia.bulbagarden.net/wiki/Human-Like_(Egg_Group)
126,Magmar,http://bulbapedia.bulbagarden.net/wiki/Magmar_(Pok%C3%A9mon),Human-Like,http://bulbapedia.bulbagarden.net/wiki/Human-Like_(Egg_Group)
127,Pinsir,http://bulbapedia.bulbagarden.net/wiki/Pinsir_(Pok%C3%A9mon),Bug,http://bulbapedia.bulbagarden.net/wiki/Bug_(Egg_Group)
128,Tauros,http://bulbapedia.bulbagarden.net/wiki/Tauros_(Pok%C3%A9mon),Field,http://bulbapedia.bulbagarden.net/wiki/Field_(Egg_Group)
129,Magikarp,http://bulbapedia.bulbagarden.net/wiki/Magikarp_(Pok%C3%A9mon),Water 2,http://bulbapedia.bulbagarden.net/wiki/Water_2_(Egg_Group)
130,Gyarados,http://bulbapedia.bulbagarden.net/wiki/Gyarados_(Pok%C3%A9mon),Water 2,http://bulbapedia.bulbagarden.net/wiki/Water_2_(Egg_Group)
131,Lapras,http://bulbapedia.bulbagarden.net/wiki/Lapras_(Pok%C3%A9mon),Monster,http://bulbapedia.bulbagarden.net/wiki/Monster_(Egg_Group)
132,Ditto,http://bulbapedia.bulbagarden.net/wiki/Ditto_(Pok%C3%A9mon),Ditto,http://bulbapedia.bulbagarden.net/wiki/Ditto_(Egg_Group)
133,Eevee,http://bulbapedia.bulbagarden.net/wiki/Eevee_(Pok%C3%A9mon),Field,http://bulbapedia.bulbagarden.net/wiki/Field_(Egg_Group)
134,Vaporeon,http://bulbapedia.bulbagarden.net/wiki/Vaporeon_(Pok%C3%A9mon),Field,http://bulbapedia.bulbagarden.net/wiki/Field_(Egg_Group)
135,Jolteon,http://bulbapedia.bulbagarden.net/wiki/Jolteon_(Pok%C3%A9mon),Field,http://bulbapedia.bulbagarden.net/wiki/Field_(Egg_Group)
136,Flareon,http://bulbapedia.bulbagarden.net/wiki/Flareon_(Pok%C3%A9mon),Field,http://bulbapedia.bulbagarden.net/wiki/Field_(Egg_Group)
137,Porygon,http://bulbapedia.bulbagarden.net/wiki/Porygon_(Pok%C3%A9mon),Mineral,http://bulbapedia.bulbagarden.net/wiki/Mineral_(Egg_Group)
138,Omanyte,http://bulbapedia.bulbagarden.net/wiki/Omanyte_(Pok%C3%A9mon),Water 1,http://bulbapedia.bulbagarden.net/wiki/Water_1_(Egg_Group)
139,Omastar,http://bulbapedia.bulbagarden.net/wiki/Omastar_(Pok%C3%A9mon),Water 1,http://bulbapedia.bulbagarden.net/wiki/Water_1_(Egg_Group)
140,Kabuto,http://bulbapedia.bulbagarden.net/wiki/Kabuto_(Pok%C3%A9mon),Water 1,http://bulbapedia.bulbagarden.net/wiki/Water_1_(Egg_Group)
141,Kabutops,http://bulbapedia.bulbagarden.net/wiki/Kabutops_(Pok%C3%A9mon),Water 1,http://bulbapedia.bulbagarden.net/wiki/Water_1_(Egg_Group)
142,Aerodactyl,http://bulbapedia.bulbagarden.net/wiki/Aerodactyl_(Pok%C3%A9mon),Flying,http://bulbapedia.bulbagarden.net/wiki/Flying_(Egg_Group)
143,Snorlax,http://bulbapedia.bulbagarden.net/wiki/Snorlax_(Pok%C3%A9mon),Monster,http://bulbapedia.bulbagarden.net/wiki/Monster_(Egg_Group)
144,Articuno,http://bulbapedia.bulbagarden.net/wiki/Articuno_(Pok%C3%A9mon),Undiscovered,http://bulbapedia.bulbagarden.net/wiki/Undiscovered_(Egg_Group)
145,Zapdos,http://bulbapedia.bulbagarden.net/wiki/Zapdos_(Pok%C3%A9mon),Undiscovered,http://bulbapedia.bulbagarden.net/wiki/Undiscovered_(Egg_Group)
146,Moltres,http://bulbapedia.bulbagarden.net/wiki/Moltres_(Pok%C3%A9mon),Undiscovered,http://bulbapedia.bulbagarden.net/wiki/Undiscovered_(Egg_Group)
147,Dratini,http://bulbapedia.bulbagarden.net/wiki/Dratini_(Pok%C3%A9mon),Water 1,http://bulbapedia.bulbagarden.net/wiki/Water_1_(Egg_Group)
148,Dragonair,http://bulbapedia.bulbagarden.net/wiki/Dragonair_(Pok%C3%A9mon),Water 1,http://bulbapedia.bulbagarden.net/wiki/Water_1_(Egg_Group)
149,Dragonite,http://bulbapedia.bulbagarden.net/wiki/Dragonite_(Pok%C3%A9mon),Water 1,http://bulbapedia.bulbagarden.net/wiki/Water_1_(Egg_Group)
150,Mewtwo,http://bulbapedia.bulbagarden.net/wiki/Mewtwo_(Pok%C3%A9mon),Undiscovered,http://bulbapedia.bulbagarden.net/wiki/Undiscovered_(Egg_Group)
151,Mew,http://bulbapedia.bulbagarden.net/wiki/Mew_(Pok%C3%A9mon),Undiscovered,http://bulbapedia.bulbagarden.net/wiki/Undiscovered_(Egg_Group)
152,Chikorita,http://bulbapedia.bulbagarden.net/wiki/Chikorita_(Pok%C3%A9mon),Monster,http://bulbapedia.bulbagarden.net/wiki/Monster_(Egg_Group)
153,Bayleef,http://bulbapedia.bulbagarden.net/wiki/Bayleef_(Pok%C3%A9mon),Monster,http://bulbapedia.bulbagarden.net/wiki/Monster_(Egg_Group)
154,Meganium,http://bulbapedia.bulbagarden.net/wiki/Meganium_(Pok%C3%A9mon),Monster,http://bulbapedia.bulbagarden.net/wiki/Monster_(Egg_Group)
155,Cyndaquil,http://bulbapedia.bulbagarden.net/wiki/Cyndaquil_(Pok%C3%A9mon),Field,http://bulbapedia.bulbagarden.net/wiki/Field_(Egg_Group)
156,Quilava,http://bulbapedia.bulbagarden.net/wiki/Quilava_(Pok%C3%A9mon),Field,http://bulbapedia.bulbagarden.net/wiki/Field_(Egg_Group)
157,Typhlosion,http://bulbapedia.bulbagarden.net/wiki/Typhlosion_(Pok%C3%A9mon),Field,http://bulbapedia.bulbagarden.net/wiki/Field_(Egg_Group)
